Lesson;Spanish;German;Wordtype;Gender;Number;LA
5 Mi léxico;el valle;Tal;Nomen;M.;SG;
5 Mi léxico;financiero;Finanzinactivo;Adjektiv;M.;SG;
5 Mi léxico;financiera;Finanzinactiva;Adjektiv;F.;SG;
5 Mi léxico;inactivo;nicht aktiv;Adjektiv;M.;SG;
5 Mi léxico;inactiva;nicht aktiv;Adjektiv;F.;SG;
5 Cultura;verdadero;wahr;Adjektiv;M.;SG;
5 Cultura;verdadera;wahr;Adjektiv;F.;SG;
5 Cultura;falso;falsch;Adjektiv;M.;SG;
5 Cultura;falsa;falsch;Adjektiv;F.;SG;
5 Cultura;tercer;dritter;Adjektiv;M.;SG;
5 Cultura;tercero;drittes;Adjektiv;N.;SG;
5 Cultura;tercera;dritte;Adjektiv;F.;SG;
5 Cultura;la lengua nativa;Muttersprache;Nomen;F.;SG;
5 Cultura;el guaraní;offizielle Sprache in Paraguay;Nomen;M.;SG;
5 Cultura;indígena;eingeboren, einheimisch;Adjektiv;;;
5 Cultura;comprobar;überprüfen;Verb;;;
5 Cultura;vivo;lebendig, lebend;Adjektiv;M.;SG;
5 Cultura;viva;lebendig, lebend;Adjektiv;F.;SG;
5 Cultura;el crecimiento;Wachstum;Nomen;M.;SG;
5 Cultura;incluir;einschließen;Verb;;;
5 Cultura;aquel;diese(r,s) (dort);Pronomen;M.;SG;
5 Cultura;aquello;diese(r,s) (dort);Pronomen;N.;SG;
5 Cultura;aquella;diese(r,s) (dort);Pronomen;F.;SG;
5 Cultura;el hablante nativo;Muttersprachler;Nomen;M.;SG;
5 Cultura;la hablante nativa;Muttersprachlerin;Nomen;F.;SG;
5 Cultura;el mandarín;Mandarin;Nomen;M.;SG;
5 Cultura;la comunicación;Kommunikation;Nomen;F.;SG;
5 Cultura;internacional;international;Adjektiv;;;
5 Cultura;convivir;zusammenleben;Verb;;;
5 Cultura;el imperio;Imperium;Nomen;M.;SG;
5 Cultura;extenderse;sich ausbreiten, sich ausstrecken;Verb;;;
5 Cultura;extenso;weit;Adjektiv;M.;SG;
5 Cultura;extensa;weit;Adjektiv;F.;SG;
5 Cultura;la parte;Teil;Nomen;F.;SG;
5 Cultura;el estatus;Status;Nomen;M.;SG;
5 Cultura;junto;zusammen, gemeinsam;Adjektiv;M.;SG;
5 Cultura;junta;zusammen, gemeinsam;Adjektiv;F.;SG;
5 Cultura;el náhuatl;Nahuatl;Nomen;M.;SG;
5 Cultura;azteca;aztekisch;Adjektiv;;;
5 Cultura;la actualidad;Gegenwart;Nomen;F.;SG;
5 Cultura;se siguen hablando;es werden weiterhin gesprochen;Phrase;;;
5 Cultura;cooficial;kooffiziell;Adjektiv;;;
5 Cultura;el territorio;Gebiet;Nomen;M.;SG;
5 Cultura;románico;romanisch;Adjektiv;;;
5 Cultura;el origen;Ursprung, Herkunft;Nomen;M.;SG;
5 Cultura;el latín;Latein;Nomen;M.;SG;
5 Cultura;la certeza;Gewissheit;Nomen;F.;SG;
5 AB;la Costa de Marfil;Elfenbeinküste;Nomen;F.;SG;
5 AB;los Alpes;Alpen;Nomen;M.;PL;
5 AB;el Danubio;Donau;Nomen;M.;SG;
5 AB;el turista;Tourist;Nomen;M.;SG;
5 AB;la turista;Touristin;Nomen;F.;SG;
5 AB;el ejercicio;Übung;Nomen;M.;SG;
5 AB;acuático;Wasser-;Adjektiv;M.;SG;
5 AB;acuática;Wasser-;Adjektiv;F.;SG;
5 AB;turístico;Touristen-, touristisch;Adjektiv;M.;SG;
5 AB;turística;Touristen-, touristisch;Adjektiv;F.;SG;
5 AB;contemporáneo;zeitgenössisch;Adjektiv;M.;SG;
5 AB;contemporánea;zeitgenössisch;Adjektiv;F.;SG;
5 AB;el pronombre;Pronomen;Nomen;M.;SG;
5 AB;la reacción;Reaktion;Nomen;F.;SG;
5 AB;la lluvia;Regen;Nomen;F.;SG;
5 AB;la cascada;Wasserfall;Nomen;F.;SG;
5 AB;fabuloso;fabelhaft, großartig;Adjektiv;M.;SG;
5 AB;fabulosa;fabelhaft, großartig;Adjektiv;F.;SG;
5 AB;la nieve;Schnee;Nomen;F.;SG;
5 AB;perfecto;perfekt;Adjektiv;M.;SG;
5 AB;perfecta;perfekt;Adjektiv;F.;SG;
5 AB;maravilloso;wunderbar, herrlich;Adjektiv;M.;SG;
5 AB;maravillosa;wunderbar, herrlich;Adjektiv;F.;SG;
5 AB;caribeño;Karibik-, karibisch;Adjektiv;M.;SG;
5 AB;caribeña;Karibik-, karibisch;Adjektiv;F.;SG;
5 AB;demasiado;zu viel;Adjektiv;M.;SG;
5 AB;demasiada;zu viel;Adjektiv;F.;SG;
5 AB;el tráfico;Verkehr;Nomen;M.;SG;
5 AB;por cierto;übrigens, apropos;Phrase;;;
5 AB;contar;erzählen, zählen;Verb;;;
5 AB;la cosa;Ding, Sache;Nomen;F.;SG;
5 AB;el beso;Kuss (auch: Abschiedsformel in einer persönlichen E-Mail/einem persönlichen Brief);Nomen;M.;SG;
5 AB;el interior;Inneres;Nomen;M.;SG;
5 AB;continental;kontinental;Adjektiv;;;
5 AB;medir;messen;Verb;;;
5 AB;Vaticano;Vatikan;Nomen;M.;SG;
5 AB;Mónaco;Monaco;Nomen;M.;SG;
5 AB;la superficie;Oberfläche;Nomen;F.;SG;
5 AB;poblado;bewohnt, besiedelt;Adjektiv;M.;SG;
5 AB;poblada;bewohnt, besiedelt;Adjektiv;F.;SG;
5 AB;la Antártida;Antarktis;Nomen;F.;SG;
5 AB;el Polo Norte;Nordpol;Nomen;M.;SG;
5 AB;el Sáhara;Sahara;Nomen;M.;SG;
5 AB;bonito;schön, hübsch;Adjektiv;M.;SG;
5 AB;bonita;schön, hübsch;Adjektiv;F.;SG;
5 AB;impresionante;beeindruckend;Adjektiv;;;
5 AB;menos;am wenigsten;Adverb;;;
5 AB;seleccionar;auswählen, aussuchen;Verb;;;
5 AB;el sucre;ehemalige Währung Ecuadors;Nomen;M.;SG;
5 AB;el dólar;Dollar;Nomen;M.;SG;
5 AB;la vegetación;Vegetation;Nomen;F.;SG;
5 AB;el Nilo;Nil;Nomen;M.;SG;
5 AB;el puma;Puma;Nomen;M.;SG;
5 AB;la iguana;Leguan;Nomen;F.;SG;
5 AB;el cocodrilo;Krokodil;Nomen;M.;SG;
5 AB;la tortuga;Schildkröte;Nomen;F.;SG;
5 AB;el fiordo;Fjord;Nomen;M.;SG;
5 AB;la meseta;Hochebene;Nomen;F.;SG;
5 AB;costero;Küstenel;Adjektiv;M.;SG;
5 AB;costera;Küstenel;Adjektiv;F.;SG;
5 AB;sudoeste;Südwesten;Nomen;M.;SG;
5 AB;la puerta;Tür, Tor;Nomen;F.;SG;
5 AB;noruego;norwegisch;Adjektiv;M.;SG;
5 AB;noruega;norwegisch;Adjektiv;F.;SG;
5 AB;la entrada;Eingang;Nomen;F.;SG;
5 AB;el puerto;Hafen;Nomen;M.;SG;
5 AB;el carnaval;Karneval;Nomen;M.;SG;
5 AB;el recorrido;Rundgang, Tour;Nomen;M.;SG;
5 AB;subir;hochsteigen;Verb;;;
5 AB;el barco;Schiff;Nomen;M.;SG;
6;Mi ciudad, mi barrio Meine Stadt, mein Stadtviertel;Mi ciudad, mi barrio;Phrase;;;
6;el barrio;Stadtviertel;Nomen;M.;SG;
6;el adjetivo;Adjektiv;Nomen;M.;SG;
6;tradicional;traditionell;Adjektiv;;;
6;limpio;sauber;Adjektiv;M.;SG;
6;limpia;sauber;Adjektiv;F.;SG;
6;sostenible;nachhaltig;Adjektiv;;;
6;aburrido;langweilig;Adjektiv;M.;SG;
6;aburrida;langweilig;Adjektiv;F.;SG;
6;moderno;modern;Adjektiv;M.;SG;
6;moderna;modern;Adjektiv;F.;SG;
6;mediano;mittelmäßig, von mittlerer Größe;Adjektiv;M.;SG;
6;mediana;mittelmäßig, von mittlerer Größe;Adjektiv;F.;SG;
6;ruidoso;laut;Adjektiv;M.;SG;
6;ruidosa;laut;Adjektiv;F.;SG;
6;preferido;bevorzugt, Lieblings-;Adjektiv;M.;SG;
6;preferida;bevorzugt, Lieblings-;Adjektiv;F.;SG;
6 A;la encuesta;Umfrage;Nomen;F.;SG;
6 A;el ayuntamiento;Rathaus;Nomen;M.;SG;
6 A;valorar;bewerten;Verb;;;
6 A;por medio de;mittels, über;Phrase;;;
6 A;la nota;Note;Nomen;F.;SG;
6 A;totalmente;ganz, völlig;Adjektiv;;;
6 A;de acuerdo;einverstanden;Phrase;;;
6 A;para nada;überhaupt nicht;Phrase;;;
6 A;(con) respecto a;hinsichtlich;Präposition;;;
6 A;seguro;Sicher;Adjektiv;M.;SG;
6 A;segura;sichere;Adjektiv;F.;SG;
6 A;la criminalidad;Kriminalität;Nomen;F.;SG;
6 A;contaminado;verschmutzt, verseucht;Adjektiv;M.;SG;
6 A;contaminada;verschmutzte, verseuchte;Adjektiv;F.;SG;
6 A;la red;Netz;Nomen;F.;SG;
6 A;el transporte público;öffentliche Verkehrsmittel;Nomen;M.;SG;
6 A;la oferta;Angebot;Nomen;F.;SG;
6 A;el teatro;Theater;Nomen;M.;SG;
6 A;público;öffentlich;Adjektiv;M.;SG;
6 A;pública;öffentliche;Adjektiv;F.;SG;
6 A;el jardín;Garten;Nomen;M.;SG;
6 A;variado;abwechslungsreich, unterschiedlich;Adjektiv;M.;SG;
6 A;variada;abwechslungsreiche, unterschiedliche;Adjektiv;F.;SG;
6 A;el ruido;Lärm;Nomen;M.;SG;
6 A;próspero;wohlhabend;Adjektiv;M.;SG;
6 A;próspera;wohlhabende;Adjektiv;F.;SG;
6 A;el desempleo;Arbeitslosigkeit;Nomen;M.;SG;
6 A;la mejora;Verbesserung;Nomen;F.;SG;
6 A;la opinión;Meinung;Nomen;F.;SG;
6 A;el mar;Meer;Nomen;M.;SG;
6 A;vital;lebhaft, vital;Adjektiv;;;
6 A;la contaminación;Verschmutzung;Nomen;F.;SG;
6 A;el carril bici;Fahrradweg;Nomen;M.;SG;
6 A;el reciclaje;Recycling;Nomen;M.;SG;
6 A;la seguridad;Sicherheit;Nomen;F.;SG;
6 A;el medio ambiente;Umwelt;Nomen;M.;SG;
6 A;la movilidad;Beweglichkeit, Mobilität;Nomen;F.;SG;
6 B;aéreo;Luft-;Adjektiv;M.;SG;
6 B;aérea;Luft-;Adjektiv;F.;SG;
6 B;el párrafo;Absatz;Nomen;M.;SG;
6 B;la calidad;Qualität;Nomen;F.;SG;
6 B;contar con;verfügen über;Phrase;;;
6 B;gastronómico;gastronomisch;Adjektiv;M.;SG;
6 B;gastronómica;gastronomische;Adjektiv;F.;SG;
6 B;propio;eigen;Adjektiv;M.;SG;
6 B;propia;eigene;Adjektiv;F.;SG;
6 B;lleno;voll;Adjektiv;M.;SG;
6 B;llena;voll;Adjektiv;F.;SG;
6 B;la orilla;Ufer;Nomen;F.;SG;
6 B;cosmopolita;kosmopolitisch, weltbürgerlich;Adjektiv;;SG;
6 B;dinámico;dynamisch;Adjektiv;M.;SG;
6 B;dinámica;dynamisch;Adjektiv;F.;SG;
6 B;el artículo;Artikel;Nomen;M.;SG;
6 B;la ropa;Kleidung;Nomen;F.;SG;
6 B;playero;Strandel;Adjektiv;M.;SG;
6 B;playera;Strandel;Adjektiv;F.;SG;
6 B;Palacio de Congresos;Kongresshalle;Nomen;M.;SG;
6 B;la sede;Sitz;Nomen;F.;SG;
6 B;el Festival Internacional de cine;internationales Filmfestival;Nomen;M.;SG;
6 B;el festival;Festival;Nomen;M.;SG;
6 B;caro;teuer;Adjektiv;M.;SG;
6 B;cara;teuer;Adjektiv;F.;SG;
6 B;oriental;östlich;Adjektiv;;SG;
6 B;lejos;weit, weit entfernt;Adjektiv;;SG;
6 B;el desarrollo;Entwicklung, Wachstum;Nomen;M.;SG;
6 B;urbano;städtisch, Stadtproduzieren;Adjektiv;M.;SG;
6 B;urbana;städtisch, Stadtproduzieren;Adjektiv;F.;SG;
6 B;hervorbringen;auslösen;Verb;;;
6 B;la década;Jahrzehnt;Nomen;F.;SG;
6 B;la sociología;Soziologie;Nomen;F.;SG;
6 B;subrayar;unterstreichen;Verb;;;
6 B;decidir;entscheiden;Verb;;;
6 B;las afueras;Umgebung, Stadtrand;Nomen;F.;PL;
6 B;residencial;Wohnestresar;Adjektiv;;SG;
6 B;menor;kleiner;Adjektiv;;SG;
6 B;mejor;besser, bester;Adjektiv;;SG;
6 B;peor;schlechter;Adjektiv;;SG;
6 B;argumentar;begründen, argumentieren;Verb;;;
6 B;barato;billig;Adjektiv;M.;SG;
6 B;barata;billig;Adjektiv;F.;SG;
6 B;la zona peatonal;Fußgängerzone;Nomen;F.;SG;
6 B;la parada;Haltestelle;Nomen;F.;SG;
6 B;el autobús;Bus;Nomen;M.;SG;
6 B;el plano;Plan;Nomen;M.;SG;
6 B;sin embargo;trotzdem, dennoch;Konjunktion;;;
6 C;Disculpe,...;Entschuldigung,…;Phrase;;;
6 C;fácil;einfach;Adjektiv;;;
6 C;doblar;abbiegen;Verb;;;
6 C;seguir;weitergehen;Verb;;;
6 C;derecho;geradeaus;Adjektiv;;;
6 C;en total;insgesamt;Phrase;;;
6 C;tener que;müssen;Verb;;;
6 C;cruzar;überqueren;Verb;;;
6 C;ancho;breit, weit;Adjektiv;M.;SG;
6 C;ancha;breit, weit;Adjektiv;F.;SG;
6 C;el semáforo;Ampel;Nomen;M.;SG;
6 C;el edificio;Gebäude;Nomen;M.;SG;
6 C;el color;Farbe;Nomen;M.;SG;
6 C;blanco;weiß;Adjektiv;M.;SG;
6 C;blanca;weiß;Adjektiv;F.;SG;
6 C;De nada. Gern geschehen. / Nichts zu danken.;De nada. Gern geschehen. / Nichts zu danken.;Phrase;;;
6 C;la catedral;Kathedrale;Nomen;F.;SG;
6 C;algún;irgendein;Pronomen;M.;SG;
6 C;alguno;irgendein;Pronomen;M.;SG;
6 C;alguna;irgendein;Pronomen;F.;SG;
6 C;el correo;Post;Nomen;M.;SG;
6 C;el micro;Bus;Nomen;M.;SG;LA
6 C;entonces;dann;Konjunktion;;;
6 C;la esquina;Ecke;Nomen;F.;SG;
6 C;la expresión;Ausdruck;Nomen;F.;SG;
6 C;girar;abbiegen;Verb;;;
6 C;todo recto;geradeaus;Phrase;;;
6 C;perdón;Entschuldigung;Phrase;;;
6 C;el café;Café;Nomen;M.;SG;
6 C;ningún;keiner;Pronomen;M.;SG;
6 C;ninguno;keiner;Pronomen;M.;SG;
6 C;ninguna;keiner;Pronomen;F.;SG;
6 C;el cajero automático;Geldautomat;Nomen;M.;SG;
6 C;el laboratorio de idiomas;Sprachlabor;Nomen;M.;SG;
6 C;el centro de fotocopias;Copy-Shop (in einer Universität);Nomen;M.;SG;
6 C;el Instituto Tecnológico;technologisches Institut;Nomen;M.;SG;
6 C;los baños públicos;öffentliche Toiletten;Nomen;M.;PL;
6 C;enfrente;gegenüber;Adverb;;;
6 C;a la derecha;rechts;Phrase;;;
6 C;lento;langsam;Adjektiv;M.;SG;
6 C;lenta;langsam;Adjektiv;F.;SG;
6 C;confortable;komfortabel;Adjektiv;;;
6 C;cómodo;bequem, gemütlich;Adjektiv;M.;SG;
6 C;ecológico;umweltfreundlich, ökologisch;Adjektiv;M.;SG;
6 C;ecológica;umweltfreundliche, ökologische;Adjektiv;F.;SG;
6 C;contaminante;umweltverschmutzend;Adjektiv;;SG;
6 C;el tren;Zug;Nomen;M.;SG;
6 C;el medio de transporte;Transportmittel;Nomen;M.;SG;
6 C;el taxi;Taxi;Nomen;M.;SG;
6 C;el tranvía;Straßenbahn;Nomen;M.;SG;
6 C;moverse;sich bewegen;Verb;;;
6 C;la tabla;Tabelle;Nomen;F.;SG;
6 C;la dirección;Richtung;Nomen;F.;SG;
6 C;bajar;aussteigen;Verb;;;
6 Proyecto;responder;antworten;Verb;;;
6 Proyecto;faltar;fehlen;Verb;;;
6 Proyecto;la vivienda;Wohnung;Nomen;F.;SG;
6 Proyecto;la propuesta;Vorschlag;Nomen;F.;SG;
6 Mi gramática;el dibujo;Zeichnung;Nomen;M.;SG;
6 Mi gramática;corregir;korrigieren;Verb;;;
6 Mi gramática;la localización;Standort;Nomen;F.;SG;
6 Mi gramática;la existencia;Vorhandensein, Existenz;Nomen;F.;SG;
6 Mi gramática;andar;laufen, gehen;Verb;;;
6 Mi léxico;el establecimiento;Geschäft, Einrichtung;Nomen;M.;SG;
6 Mi léxico;tomar prestado;entleihen, ausleihen;Verb;;;
6 Mi léxico;comprar;kaufen;Verb;;;
6 Mi léxico;la aspirina;Aspirin®;Nomen;F.;SG;
6 Mi léxico;el sello;Briefmarke;Nomen;M.;SG;
6 Mi léxico;la carta;Brief;Nomen;F.;SG;
6 Mi léxico;la postal;Postkarte;Nomen;F.;SG;
6 Mi léxico;pasear;spazieren gehen;Verb;;;
6 Mi léxico;el préstamo;(Aus)leihen;Nomen;M.;SG;
6 Mi léxico;el envío;Sendung, Versand;Nomen;M.;SG;
6 Mi léxico;el juego;Spiel;Nomen;M.;SG;
6 Mi léxico;la finalidad;Ziel, Zweck;Nomen;F.;SG;
6 Cultura;hispano;spanisch, Hispano;Adjektiv;M.;SG;
6 Cultura;hispana;spanisch, Hispana;Adjektiv;F.;SG;
6 Cultura;la hipótesis;Hypothese, Annahme;Nomen;F.;SG;
6 Cultura;el estilo;Stil;Nomen;M.;SG;
6 Cultura;planificar;planen;Verb;;;
6 Cultura;la estructura;Struktur;Nomen;F.;SG;
6 Cultura;el criterio;Kriterium;Nomen;M.;SG;
6 Cultura;establecer;festlegen, aufstellen;Verb;;;
6 Cultura;la construcción;Bau, Baukunst;Nomen;F.;SG;
6 Cultura;construir;bauen, errichten;Verb;;;
6 Cultura;la característica;Merkmal, Eigenschaft;Nomen;F.;SG;
6 Cultura;la Plaza de Armas;Hauptplatz einer Stadt;Nomen;F.;SG;LA
6 Cultura;la forma;Form;Nomen;F.;SG;
6 Cultura;rectangular;rechteckig;Adjektiv;;;
6 Cultura;proporcional;verhältnismäßig, proportional;Adjektiv;;;
6 Cultura;partir (de);ausgehen (von);Verb;;;
6 Cultura;estrecho;eng;Adjektiv;M.;;
6 Cultura;estrecha;eng;Adjektiv;F.;;
6 Cultura;cálido;warm;Adjektiv;M.;;
6 Cultura;cálida;warm;Adjektiv;F.;;
6 Cultura;la iglesia;Kirche;Nomen;F.;SG;
6 Cultura;prominente;vorstehend, hervortretend;Adjektiv;;;
6 Cultura;por encima de;über, höher als;Preposición;;;
6 Cultura;el nivel;Ebene, Niveau;Nomen;M.;SG;
6 Cultura;el suelo;(Erd)boden;Nomen;M.;SG;
6 Cultura;la escalera;Treppe;Nomen;F.;SG;
6 Cultura;institucional;institutionell;Adjektiv;;;
6 Cultura;monumental;gewaltig, monumental;Adjektiv;;;
6 Cultura;la alcaldía (LA);Rathaus;Nomen;F.;SG;LA
6 Cultura;el gobierno;Regierung;Nomen;M.;SG;
6 Cultura;bello;schön;Adjektiv;M.;;
6 Cultura;bella;schön;Adjektiv;F.;;
6 Cultura;encontrar;finden;Verb;;;
6 Cultura;aparecer;erscheinen;Verb;;;
6 AB;la metrópoli;Weltstadt, Metropole;Nomen;F.;SG;
6 AB;la aldea;Dorf;Nomen;F.;SG;
6 AB;la industria;Industrie;Nomen;F.;SG;
6 AB;el sector;Sektor;Nomen;M.;SG;
6 AB;la colonia;Kolonie;Nomen;F.;SG;
6 AB;originario;ursprünglich;Adjektiv;M.;;
6 AB;originaria;ursprünglich;Adjektiv;F.;;
6 AB;Grecia;Griechenland;Nomen;;;
6 AB;referirse (a);sich beziehen (auf);Verb;;;
6 AB;la avenida;Boulevard, Allee;Nomen;F.;SG;
6 AB;el auto LA;Auto;Nomen;M.;SG;LA
6 AB;sobre todo;vor allem;Adverbio;;;
6 AB;ir de compras;shoppen, einen Einkaufsbummel machen;Verb;;;
6 AB;innumerable;unzählig, zahllos;Adjektiv;;;
6 AB;pintoresco;malerisch, pittoresk;Adjektiv;M.;;
6 AB;pintoresca;malerisch, pittoresk;Adjektiv;F.;;
6 AB;gótico;gotisch;Adjektiv;M.;;
6 AB;gótica;gotisch;Adjektiv;F.;;
6 AB;la etapa;Etappe;Nomen;F.;SG;
6 AB;el Camino de Santiago;Jakobsweg;Nomen;M.;SG;
6 AB;la comunidad;autonome Region Spaniens;Nomen;F.;SG;
6 AB;el monasterio;Kloster;Nomen;M.;SG;
6 AB;contento;zufrieden;Adjektiv;M.;SG;
6 AB;contenta;zufriedene;Adjektiv;F.;SG;
6 AB;existir;existieren, vorhanden sein;Verb;;;
6 AB;peligroso;gefährlich;Adjektiv;M.;SG;
6 AB;peligrosa;gefährliche;Adjektiv;F.;SG;
6 AB;antes;früher;Adv;;;
6 AB;el cliente;Kunde;Nomen;M.;SG;
6 AB;la clienta;Kundin;Nomen;F.;SG;
6 AB;todavía;noch;Adv;;;
6 AB;inseguro;unsicher;Adjektiv;M.;SG;
6 AB;insegura;unsichere;Adjektiv;F.;SG;
6 AB;la violencia;Gewalt;Nomen;F.;SG;
6 AB;sucio;schmutzig, dreckig;Adjektiv;M.;SG;
6 AB;sucia;schmutzige, dreckige;Adjektiv;F.;SG;
6 AB;el papel;Papier;Nomen;M.;SG;
6 AB;la basura;Müll;Nomen;F.;SG;
6 AB;ambiental;Umwelt-;Adjektiv;;;
6 AB;en fin;kurz und gut;Phrase;;;
6 AB;un par de días;einige Tage;Phrase;;;
6 AB;el quiosco;Kiosk;Nomen;M.;SG;
6 AB;grandes almacenes;Kaufhaus;Nomen;;PL;
6 AB;la panadería;Bäckerei;Nomen;F.;SG;
6 AB;la moda;Mode;Nomen;F.;SG;
6 AB;practicar deporte;Sport treiben;Phrase;;;
6 AB;la librería;Buchhandlung;Nomen;F.;SG;
6 AB;la fotocopiadora;Fotokopiergerät;Nomen;F.;SG;
6 AB;el pasillo;Gang;Nomen;M.;SG;
6 AB;pasado;vergangen, vorig;Adjektiv;;;
6 AB;poner;hier: Musik (auf)legen;Verb;;;
6 AB;coger;nehmen;Verb;;;
6 AB;la hamburguesería;Burgerladen;Nomen;F.;SG;
6 AB;la óptica;Optiker;Nomen;F.;SG;
6 AB;el estanco;Tabakwarenladen;Nomen;M.;SG;
6 AB;la telefonía móvil;Mobilfunk;Nomen;F.;SG;
6 AB;justo;genau, gerade;Adv;;;
6 AB;el punto de partida;Ausgangspunkt;Nomen;M.;SG;
6 AB;continuar;weitergehen;Verb;;;
6 AB;¡Hasta luego!;Bis später!;Phrase;;;
6 AB;dirigirse (a);sich wenden an;Verb;;;
6 AB;de todos modos;auf alle Fälle, jedenfalls;Phrase;;;
6 AB;al fondo;hinten;Phrase;;;
6 AB;la carretera;Landstraße;Nomen;F.;SG;
6 AB;la autopista;Autobahn;Nomen;F.;SG;
7;De fin de semana;Am Wochenende;Phrase;;;
7;dar un paseo;spazieren gehen;Phrase;;;
7 A;todavía no;noch nicht;Phrase;;;
7 A;el título;Titel;Nomen;M.;SG;
7 A;madrileño;Madrider;Adjektiv;M.;SG;
7 A;madrileña;Madriderin;Adjektiv;F.;SG;
7 A;la cita;Termin, Verabredung;Nomen;F.;SG;
7 A;el aperitivo;Aperitiv;Nomen;M.;SG;
7 A;el atardecer;Dämmerung;Nomen;M.;SG;
7 A;reunir;vereinen, sammeln;Verb;;;
7 A;el trío;Trio;Nomen;M.;SG;
7 A;añadir;hinzufügen;Verb;;;
7 A;la entrada;Eintritt(skarte);Nomen;F.;SG;
7 A;gratis;kostenlos, gratis;Adjektiv;;;
7 A;pleno;voll;Adjektiv;M.;SG;
7 A;plena;voll;Adjektiv;F.;SG;
7 A;el corazón;Herz;Nomen;M.;SG;
7 A;la ruta;Weg, Route;Nomen;F.;SG;
7 A;encontrarse;sich befinden;Verb;;;
7 A;el picnic;Picknick;Nomen;M.;SG;
7 A;la zapatería;Schuhgeschäft, Schuhmacherei;Nomen;F.;SG;
7 A;el precio;Preis;Nomen;M.;SG;
7 A;contemplar;betrachten, anschauen;Verb;;;
7 A;la tonalidad;Schattierung;Nomen;F.;SG;
7 A;el cielo;Himmel;Nomen;M.;SG;
7 A;la movida;geschäftiges Treiben, Action;Nomen;F.;SG;
7 A;llenarse;sich füllen;Verb;;;
7 A;el concierto;Konzert;Nomen;M.;SG;
7 A;el mercadillo;Flohmarkt;Nomen;M.;SG;
7 A;el musical;Musical;Nomen;M.;SG;
7 A;romper;(zer)brechen;Verb;;;
7 A;pasar;verbringen;Verb;;;
7 A;el jamón de Bellota;Schinkenspezialität aus Spanien;Nomen;M.;SG;
7 A;flamenco;Flamenco-;Adjektiv;M.;SG;
7 A;flamenca;Flamenco-;Adjektiv;F.;SG;
7 A;la torre;Turm;Nomen;F.;SG;
7 B;la guía;Reiseführer (Buch);Nomen;F.;SG;
7 B;la verdad;Wahrheit;Nomen;F.;SG;
7 B;agotador;anstrengend;Adjektiv;M.;SG;
7 B;agotadora;anstrengend;Adjektiv;F.;SG;
7 B;estupendo;wunderbar, toll;Adjektiv;M.;SG;
7 B;estupenda;wunderbar, toll;Adjektiv;F.;SG;
7 B;acabar de hacer algo;soeben etwas getan haben;Phrase;;;
7 B;la marcha;Ausgehen;Nomen;F.;SG;
7 B;entrar;beginnen;Verb;;;
7 B;probar;versuchen, probieren;Verb;;;
7 B;el sabor;Geschmack;Nomen;M.;SG;
7 B;la taberna;Kneipe;Nomen;F.;SG;
7 B;la especialidad;Spezialität;Nomen;F.;SG;
7 B;el tamal;Maispastete (Maisteig und Fleisch, das in Blätter eingewickelt und gedämpft wird);Nomen;M.;SG;
7 B;en vivo;live;Phrase;;;
7 B;la actualidad;Aktuelles, Gegenwart;Nomen;F.;SG;
7 B;el género;Genre;Nomen;M.;SG;
7 B;la comedia;Komödie;Nomen;F.;SG;
7 B;el festivo;Feiertag;Nomen;M.;SG;
7 B;el laborable;Werktag;Nomen;M.;SG;
7 B;el espectador;Zuschauer;Nomen;M.;SG;
7 B;la espectadora;Zuschauerin;Nomen;F.;SG;
7 B;la colección;Sammlung;Nomen;F.;SG;
7 B;permanente;ständig, dauerhaft;Adjektiv;;;
7 B;el cubismo;Kubismus;Nomen;M.;SG;
7 B;la taquilla;Kasse;Nomen;F.;SG;
7 B;finalizar;enden, beenden;Verb;;;
7 B;el minuto;Minute;Nomen;M.;SG;
7 B;el cierre;Schließen;Nomen;M.;SG;
7 B;precios sujetos a variaciones del IVA;die Preise unterliegen dem jeweils gültigen Mehrwertsteuersatz;Phrase;;;
7 B;contestar;beantworten;Verb;;;
7 B;la sesión;Vorstellung;Nomen;F.;SG;
7 B;expresar;ausdrücken;Verb;;;
7 B;el deseo;Wunsch;Nomen;M.;SG;
7 B;la caja;Kasten;Nomen;F.;SG;
7 C;ordenar;ordnen;Verb;;;
7 C;Vale.;Einverstanden.;Phrase;;;
7 C;el calendario;Kalender;Nomen;M.;SG;
7 C;cumplir años;Geburtstag haben;Phrase;;;
7 C;la reserva;Reservierung;Nomen;F.;SG;
7 C;el álbum;(Foto)album;Nomen;M.;SG;
7 C;la tarjeta;Karte;Nomen;F.;SG;
7 C;la felicitación;Glückwunsch, Gratulation;Nomen;F.;SG;
7 C;el regalo;Geschenk;Nomen;M.;SG;
7 C;la llamada;Anruf;Nomen;F.;SG;
7 C;la tarta;Torte;Nomen;F.;SG;
7 Proyecto;el grupo meta;Zielgruppe;Nomen;M.;SG;
7 Proyecto;el colegio;Schule;Nomen;M.;SG;
7 Proyecto;el encuentro;Treffen;Nomen;M.;SG;
7 Proyecto;la noticia;Nachricht;Nomen;F.;SG;
7 Proyecto;el besito;Küsschen (auch: Abschiedsformel in einem Brief);Nomen;M.;SG;
7 Mi gramática;tratarse;sich handeln um;Verb;;;
7 Mi gramática;correspondiente;jeweilig, entsprechend;Adjektiv;;;
7 Mi gramática;reservar;reservieren;Verb;;;
